CIN,COMPANY_NAME,Change_Type,Field_Changed,Old_Value,New_Value,Date,STATE
U63090MH1999PTC120260,TRANSASIA SHIPPING AND TRANSPORT SYSTEMS (INDIA) PRIVATE LTD,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U88100MH2024NPL437171,FUTUREFILMS VIBES FOUNDATION,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U93010PN2001PTC015807,S R VARGANTE CLEANERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45400MH2011PTC224423,PRUTHVI VASTU AND MARKETING PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45202MH2008PLC178896,BUILDZONE PROPERTIES LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH2000PTC127694,PRISMATIC STUDIOS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U17200PN2013PTC149026,MARATHE INDUSTRIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U70200PN2008PTC140069,MINDAGE REALTY PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U63090MH2010PTC207420,EXCEL SHIPYARD INDIA PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U72100MH2025PTC445103,NANOTHERAPX INNOVATIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U63000MH2009PTC192583,SEASPAN CARGO & LOGISTICS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74999MH1988PTC050111,SUPERFLO FILTERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29307PN2002PLC017219,SOLAR ENERGIETECHNIK LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U88900MH2024NPL421556,RAJPUTANA PARIVAR FOUNDATION,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH2002PTC135614,JAIN SAHU BROTHERS INVESTMENTS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH2006PTC160073,G S T INFRASTRUCTURE PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U56102PN2024PTC234281,AKIYAANS CULINARY PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U17120MH1986PTC040469,PEARL FARBEN CHEM PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U93000MH2008PTC185896,UMA PRABHU CONSULTANCY SERVICES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1997PTC107013,GHANEKAR ENGINEERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1976PTC019003,LUTHRA CONSULTANTS AND ENGINEERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U52332MH1989PTC053298,MODERN HOME PRODUCTS. P. LTD.,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U94910PN2025NPL240015,NEW COVENANT CHURCH INDIA FOUNDATION,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74140PN2019PTC186249,RUDRAM DYNAMICS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29200MH2022PTC376956,AJIINKYA TURNKEY PROJECTS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U14201MH2023PTC403641,CUPDA PROJECT PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U01500MH2023PTC399590,MAHAKUMBH KISAN PRODUCER COMPANY LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74999MH2017PTC294335,FINWEISS CONSULTANTS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U62099MH2023PTC402203,SAAMB INFOTECH PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U65990MH2021PLN357088,NAGWELI URBAN MULTIPLE NIDHI LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH1993PTC072055,GIRNAR REALTORS PVT.LTD.,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45202MH2008PTC183897,SCARLET CREATORS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U51900MH1994PTC082463,MOHARA OVERSEAS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U62013MH2023PTC415136,UNITWIN TECHNOLOGY PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH1992PTC067707,HEMANGI REAL ESTATES PVT.LTD.,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29299PN2001PTC016072,SYNERGIE ECOSOLUTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1994PTC080582,MULTANIA AGRO INDUSTRIES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U63122PN2024PTC231939,PHANTOMATION INTELLIGENCE PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U52311MH1999PTC208669,SONOVA HEARING INDIA PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U99999MH1962PLC012261,DEEPAK FLASH LIGHT PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U01111PN2023PTC217599,DHANDEEP SEEDTECH INDIA PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U25110MH1995PTC093433,VIKRANT RUBBERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U33140PN2023PTC218347,MXURJA PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U31300MH1985PTC036651,ELSUN ELECTROCOM PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
L65990MH1984PLC033825,OLYMPIC MANAGEMENT & FINANCIAL SERVICES LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U72300MH2016PTC271725,A C E SERVICES AND INFOTECH PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74999MH2018PTC304979,PLANETEERS NATURE SOLUTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U29253MH2012PTC234157,NABENDU ENGINEERING PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U23912MH2023PTC415005,ALTICON CONSTRUCTION AND SERVICES PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U01100MH2022PTC396360,ISHWARI AGROVAN FARMER PRODUCER COMPANY LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U62090PN2024PTC230839,DIGITAL VIRTUAL STAFFING SOLUTIONS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
L28120MH1993PLC073160,YASHRAJ CONTAINEURS LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U45200MH2004PTC149023,CITILIGHTS HOME MAKERS PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U88900MH2023NPL415152,UTTAR VIKAS FOUNDATION,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U74210MH2008PTC188954,LATIYAL TRADING PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
U78100PN2024PTC233252,FICUS PLACEMNET PRIVATE LIMITED,NEW_INCORPORATION,N/A,N/A,Newly Incorporated,2025-10-18,Maharashtra
