CIN,COMPANY_NAME,STATE,SOURCE,FIELD,SOURCE_URL
U85499GJ2025NPL158578,KANCHANBA P B SHAH FAMILY FOUNDATION,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U85499GJ2025NPL158578
U85500GJ2023PTC142723,MAANYA GLOBAL PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U85500GJ2023PTC142723
U85500GJ2024OPC151560,TRADINGPIXELS ACADEMY (OPC) PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U85500GJ2024OPC151560
U85500GJ2025NPL161389,SURIYAVASANT FOUNDATION,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U85500GJ2025NPL161389
U85500GJ2025PTC161925,BUENA SUERTE ENTERPRISES PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U85500GJ2025PTC161925
U86100GJ2023PTC139333,HEALTHPRO CLINIC PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U86100GJ2023PTC139333
U28998GJ2015PTC082965,OMEX FURNACES PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U28998GJ2015PTC082965
U28999GJ1996PTC030434,MILAN MARK STORWELL PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U28999GJ1996PTC030434
U28999GJ2017PTC097258,BALRAMA CASTINGS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U28999GJ2017PTC097258
U28999GJ2018PTC103339,KAYAN INFRA PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U28999GJ2018PTC103339
U28999GJ2019PTC107688,REVA FOUNDRY WORKS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U28999GJ2019PTC107688
U29100GJ2009PLC057053,ELECTRA ACCUMULATORS LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29100GJ2009PLC057053
U29100GJ2010PTC060945,SANGUINE SAFETY SYSTEM PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29100GJ2010PTC060945
U29100GJ2011PTC063548,ZEPPELIN PRECISION PRODUCTS PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29100GJ2011PTC063548
U29100GJ2013PTC076509,DIMAN SOLAR PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29100GJ2013PTC076509
U29100GJ2018PTC102303,MITTAL BLOWERS INDIA PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29100GJ2018PTC102303
U29100GJ2020PTC114774,RADIKALE ENGINEERING PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29100GJ2020PTC114774
U29100GJ2020PTC116350,KWIK CHARGE AUTO TECH PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29100GJ2020PTC116350
U29100GJ2020PTC117735,SHREEJI PHARMA EQUIPMENT PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29100GJ2020PTC117735
U29100GJ2022PTC130566,SUPREME EXTRUMAC PRIVATE LIMITED,Delhi,ZaubaCorp,"Director info, Sector classification",https://www.zaubacorp.com/company/U29100GJ2022PTC130566
