CIN,COMPANY_NAME,STATE,SOURCE,FIELD,SOURCE_URL
U85499GJ2025NPL159001,NEW TEST COMPANY 2 PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U85499GJ2025NPL159001
U15122DL2007PTC169002,NEW TEST COMPANY 3 PRIVATE LIMITED,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U15122DL2007PTC169002
U88900KA2024NPL199002,NEW TEST COMPANY 3 PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U88900KA2024NPL199002
U15122DL2007PTC169000,NEW TEST COMPANY 1 PRIVATE LIMITED,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U15122DL2007PTC169000
U85499GJ2025NPL159000,NEW TEST COMPANY 1 PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U85499GJ2025NPL159000
U88900KA2024NPL199001,NEW TEST COMPANY 2 PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U88900KA2024NPL199001
U88900KA2024NPL199000,NEW TEST COMPANY 1 PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U88900KA2024NPL199000
U85499GJ2025NPL159002,NEW TEST COMPANY 3 PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U85499GJ2025NPL159002
U15122DL2007PTC169001,NEW TEST COMPANY 2 PRIVATE LIMITED,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U15122DL2007PTC169001
U24299PN2019PTC189002,NEW TEST COMPANY 3 PRIVATE LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U24299PN2019PTC189002
U24299PN2019PTC189001,NEW TEST COMPANY 2 PRIVATE LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U24299PN2019PTC189001
U24299PN2019PTC189000,NEW TEST COMPANY 1 PRIVATE LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U24299PN2019PTC189000
U15202GJ2015PTC083008,DEVSHREE FOOD INDUSTRY PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U15202GJ2015PTC083008
U65990MH2019PLC324075,EKATMIK NIDHI LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U65990MH2019PLC324075
U24231GJ2004PTC044478,SPRY BIOTECH PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U24231GJ2004PTC044478
U99999KA1973PTC002393,SREEVENKATESWARA INDUSTRIAL AGENCIES PRI VATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U99999KA1973PTC002393
U65999DL2009PTC189918,SPGP FINANCIAL CONSULTANTS PRIVATE LIMITED,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U65999DL2009PTC189918
U32106KA2011PTC058750,ANETICA MICRO ELECTRONICS PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U32106KA2011PTC058750
U62091KA2024FTC187997,BOSSINI TECHNOLOGIES INDIA PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U62091KA2024FTC187997
U74999MH2017NPL295383,VITAL GLOBAL FOUNDATION,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U74999MH2017NPL295383
U15490KA2020PTC140553,WE THREE NATURALS PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U15490KA2020PTC140553
U93020DL2019PTC353384,GEETANJALI SALON PRIVATE LIMITED,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U93020DL2019PTC353384
U25190PN2010PTC194681,L&L PRODUCTS INDIA PRIVATE LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U25190PN2010PTC194681
U27100GJ2008PLC064145,JSW STEEL (SALAV) LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U27100GJ2008PLC064145
U85499DL2024NPL431540,ENDAEMONIA INTERNATIONAL FOUNDATION,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U85499DL2024NPL431540
U70200GJ2025PTC159485,DHARMESH DESHANI INFRATECH INDIA PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U70200GJ2025PTC159485
U23109GJ2003PTC043135,BLEACH CHEM EXIM (INDIA) PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U23109GJ2003PTC043135
U74999DL2018PTC333546,HAIRPRO GROOMING PRIVATE LIMITED,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U74999DL2018PTC333546
U74999KA2020PTC141763,XBALL INDIA PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U74999KA2020PTC141763
U72200GJ2005PTC047331,RADHAMADHAV INFOMEDIA PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U72200GJ2005PTC047331
U72900KA2021PTC151926,ENCAPSULATE INNOVATIONS PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U72900KA2021PTC151926
U65923MH1995PTC088829,GANGIKA FINLEASE PRIVATE LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U65923MH1995PTC088829
U74999KA2011PTC061462,ASTRAPIA UPVC TECH PRIVATE LIMITED,Gujarat,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U74999KA2011PTC061462
U51909DL2014PTC273202,SCYLLA LIFE SCIENCE PRIVATE LIMITED,Karnataka,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U51909DL2014PTC273202
U29308MH2021PTC369047,NIYO FARM-TECH PRIVATE LIMITED,Tamil Nadu,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U29308MH2021PTC369047
U51909GJ2018PTC100392,SAMARPAN IMPEX PRIVATE LIMITED,Delhi,Ready for web scraping,"Director info, Sector classification",https://www.zaubacorp.com/company/U51909GJ2018PTC100392
